"";"locus_id";"symbol";"why"
"1";"LOC_Os10g26500";NA;"HB expressed in Branch Meristem"
"2";"LOC_Os01g60270";NA;"HB expressed in Branch Meristem"
"3";"LOC_Os08g32080";NA;"HB expressed in Branch Meristem"
"4";"LOC_Os03g47740";"OsBIHD1";"HB expressed in Branch Meristem"
"5";"LOC_Os03g08960";NA;"HB expressed in Branch Meristem"
"6";"LOC_Os06g43860";NA;"HB expressed in Branch Meristem"
