"";"locus_id";"symbol";"why"
"1";"LOC_Os06g23650";"OMTN5";"NAC expressed in Spike Meristem - organ diff? Boundaries? CUC among them"
"2";"LOC_Os08g40030";NA;"NAC expressed in Spike Meristem - organ diff? Boundaries? CUC among them"
