"";"locus_id";"symbol";"why"
"1";"LOC_Os03g12950";NA;"ap2 expressed in Spikelet Meristem"
"2";"LOC_Os03g60430";"OsIDS1";"ap2 expressed in Spikelet Meristem"
"3";"LOC_Os07g47330";"FZP|BFL1|SGDP7";"ap2 expressed in Spikelet Meristem"
"4";"LOC_Os03g19900";NA;"ap2 expressed in Spikelet Meristem"
"5";"LOC_Os05g03040";"RSR1";"ap2 expressed in Spikelet Meristem"
"6";"LOC_Os03g06920";NA;"ap2 expressed in Spikelet Meristem"
"7";"LOC_Os03g06920";NA;"ap2 expressed in Spikelet Meristem"
"8";"LOC_Os09g25600";NA;"ap2 expressed in Spikelet Meristem"
