"";"locus_id";"symbol";"why"
"1";"LOC_Os12g31748";NA;"MADS strange behaviour"
"2";"LOC_Os06g11330";NA;"MADS strange behaviour"
"3";"LOC_Os02g36924";NA;"MADS strange behaviour"
"4";"LOC_Os02g36924";NA;"MADS strange behaviour"
"5";"LOC_Os03g08754";"OsMDP1";"MADS strange behaviour"
