"";"locus_id";"symbol";"why"
"1";"LOC_Os04g43560";NA;"NAC expressed in Branch Meristem - they influence root architecture?"
"2";"LOC_Os03g60080";"OsNAC19|SNAC1|OsNAC9";"NAC expressed in Branch Meristem - they influence root architecture?"
"3";"LOC_Os07g12340";"OsNAC3";"NAC expressed in Branch Meristem - they influence root architecture?"
"4";"LOC_Os01g48446";"OsNAC14";"NAC expressed in Branch Meristem - they influence root architecture?"
"5";"LOC_Os02g36880";"OMTN1";"NAC expressed in Branch Meristem - they influence root architecture?"
"6";"LOC_Os03g04070";"ONAC022";"NAC expressed in Branch Meristem - they influence root architecture?"
"7";"LOC_Os09g33490";NA;"NAC expressed in Branch Meristem - they influence root architecture?"
"8";"LOC_Os01g66120";"OsNAC6|SNAC2";"NAC expressed in Branch Meristem - they influence root architecture?"
"9";"LOC_Os05g34600";NA;"NAC expressed in Branch Meristem - they influence root architecture?"
