"";"locus_id";"symbol";"why"
"1";"LOC_Os07g01820";"OsMADS15|DEP";"MADS strange behaviour"
"2";"LOC_Os03g54170";"OsMADS34|PAP2";"MADS strange behaviour"
"3";"LOC_Os06g06750";"OsMADS5";"MADS strange behaviour"
"4";"LOC_Os03g54160";"OsMADS14";"MADS strange behaviour"
"5";"LOC_Os10g39130";"OsMADS56";"MADS strange behaviour"
